PROJECT_KEY,GIT_LINK,JIRA_LINK,SONAR_PROJECT_KEY,PROJECT_ID
batik,https://github.com/apache/batik,https://issues.apache.org/jira/projects/BATIK,org.apache:batik,org.apache:batik
commons-bcel,https://github.com/apache/commons-bcel,https://issues.apache.org/jira/projects/BCEL,org.apache:bcel,org.apache:bcel
commons-beanutils,https://github.com/apache/commons-beanutils,https://issues.apache.org/jira/projects/BEANUTILS,org.apache:beanutils,org.apache:beanutils
cocoon,https://github.com/apache/cocoon,https://issues.apache.org/jira/projects/COCOON,org.apache:cocoon,org.apache:cocoon
commons-codec,https://github.com/apache/commons-codec,https://issues.apache.org/jira/projects/CODEC,org.apache:codec,org.apache:codec
commons-collections,https://github.com/apache/commons-collections,https://issues.apache.org/jira/projects/COLLECTIONS,org.apache:collections,org.apache:collections
commons-cli,https://github.com/apache/commons-cli,https://issues.apache.org/jira/projects/CLI,org.apache:commons-cli,org.apache:commons-cli
commons-exec,https://github.com/apache/commons-exec,https://issues.apache.org/jira/projects/EXEC,org.apache:commons-exec,org.apache:commons-exec
commons-fileupload,https://github.com/apache/commons-fileupload,https://issues.apache.org/jira/projects/FILEUPLOAD,org.apache:commons-fileupload,org.apache:commons-fileupload
commons-io,https://github.com/apache/commons-io,https://issues.apache.org/jira/projects/IO/,org.apache:commons-io,org.apache:commons-io
commons-jelly,https://github.com/apache/commons-jelly,https://issues.apache.org/jira/projects/JELLY,org.apache:commons-jelly,org.apache:commons-jelly
commons-jexl,https://github.com/apache/commons-jexl,https://issues.apache.org/jira/projects/JEXL,org.apache:commons-jexl,org.apache:commons-jexl
commons-configuration,https://github.com/apache/commons-configuration,https://issues.apache.org/jira/projects/CONFIGURATION,org.apache:configuration,org.apache:configuration
commons-daemon,https://github.com/apache/commons-daemon,https://issues.apache.org/jira/projects/DAEMON,org.apache:daemon,org.apache:daemon
commons-dbcp,https://github.com/apache/commons-dbcp,https://issues.apache.org/jira/projects/DBCP,org.apache:dbcp,org.apache:dbcp
commons-dbutils,https://github.com/apache/commons-dbutils,https://issues.apache.org/jira/projects/DBUTILS,org.apache:dbutils,org.apache:dbutils
commons-digester,https://github.com/apache/commons-digester,https://issues.apache.org/jira/projects/DIGESTER,org.apache:digester,org.apache:digester
felix,https://github.com/apache/felix,https://issues.apache.org/jira/projects/FELIX,org.apache:felix,org.apache:felix
httpcomponents-client,https://github.com/apache/httpcomponents-client,https://issues.apache.org/jira/projects/HTTPCLIENT,org.apache:httpclient,org.apache:httpclient
httpcomponents-core,https://github.com/apache/httpcomponents-core,https://issues.apache.org/jira/projects/HTTPCORE,org.apache:httpcore,org.apache:httpcore
commons-jxpath,https://github.com/apache/commons-jxpath,https://issues.apache.org/jira/projects/JXPATH,org.apache:jxpath,org.apache:jxpath
commons-net,https://github.com/apache/commons-net,https://issues.apache.org/jira/projects/NET,org.apache:net,org.apache:net
commons-ognl,https://github.com/apache/commons-ognl,https://issues.apache.org/jira/projects/OGNL,org.apache:ognl,org.apache:ognl
santuario,https://github.com/apache/santuario-java,https://issues.apache.org/jira/projects/SANTUARIO,org.apache:santuario,org.apache:santuario
commons-validator,https://github.com/apache/commons-validator,https://issues.apache.org/jira/projects/VALIDATOR,org.apache:validator,org.apache:validator
commons-vfs,https://github.com/apache/commons-vfs,https://issues.apache.org/jira/projects/VFS,org.apache:vfs,org.apache:vfs
zookeeper,https://github.com/apache/zookeeper.git,https://issues.apache.org/jira/projects/ZOOKEEPER/,org.apache:zookeeper,org.apache:zookeeper
archiva,https://github.com/apache/archiva,https://issues.apache.org/jira/projects/MRM/,org.apache:archiva,org.apache:archiva
cayenne,https://github.com/apache/cayenne,https://issues.apache.org/jira/projects/CAY/,org.apache:cayenne,org.apache:cayenne
hive,https://github.com/apache/hive,https://issues.apache.org/jira/projects/HIVE/,org.apache:hive,org.apache:hive
thrift,https://github.com/apache/thrift,https://issues.apache.org/jira/projects/THRIFT/,org.apache:thrift,org.apache:thrift
