PROJECT_KEY,GIT_LINK,JIRA_LINK,SONAR_PROJECT_KEY,PROJECT_ID,database
batik,https://github.com/apache/batik,https://issues.apache.org/jira/projects/BATIK,org.apache:batik,org.apache:batik,Version2
commons-bcel,https://github.com/apache/commons-bcel,https://issues.apache.org/jira/projects/BCEL,org.apache:bcel,org.apache:bcel,Version2
commons-beanutils,https://github.com/apache/commons-beanutils,https://issues.apache.org/jira/projects/BEANUTILS,org.apache:beanutils,org.apache:beanutils,Version2
cocoon,https://github.com/apache/cocoon,https://issues.apache.org/jira/projects/COCOON,org.apache:cocoon,org.apache:cocoon,Version2
commons-codec,https://github.com/apache/commons-codec,https://issues.apache.org/jira/projects/CODEC,org.apache:codec,org.apache:codec,Version2
commons-collections,https://github.com/apache/commons-collections,https://issues.apache.org/jira/projects/COLLECTIONS,org.apache:collections,org.apache:collections,Version2
commons-cli,https://github.com/apache/commons-cli,https://issues.apache.org/jira/projects/CLI,org.apache:commons-cli,org.apache:commons-cli,Version2
commons-exec,https://github.com/apache/commons-exec,https://issues.apache.org/jira/projects/EXEC,org.apache:commons-exec,org.apache:commons-exec,Version2
commons-fileupload,https://github.com/apache/commons-fileupload,https://issues.apache.org/jira/projects/FILEUPLOAD,org.apache:commons-fileupload,org.apache:commons-fileupload,Version2
commons-io,https://github.com/apache/commons-io,https://issues.apache.org/jira/projects/IO/,org.apache:commons-io,org.apache:commons-io,Version2
commons-jelly,https://github.com/apache/commons-jelly,https://issues.apache.org/jira/projects/JELLY,org.apache:commons-jelly,org.apache:commons-jelly,Version2
commons-jexl,https://github.com/apache/commons-jexl,https://issues.apache.org/jira/projects/JEXL,org.apache:commons-jexl,org.apache:commons-jexl,Version2
commons-configuration,https://github.com/apache/commons-configuration,https://issues.apache.org/jira/projects/CONFIGURATION,org.apache:configuration,org.apache:configuration,Version2
commons-daemon,https://github.com/apache/commons-daemon,https://issues.apache.org/jira/projects/DAEMON,org.apache:daemon,org.apache:daemon,Version2
commons-dbcp,https://github.com/apache/commons-dbcp,https://issues.apache.org/jira/projects/DBCP,org.apache:dbcp,org.apache:dbcp,Version2
commons-dbutils,https://github.com/apache/commons-dbutils,https://issues.apache.org/jira/projects/DBUTILS,org.apache:dbutils,org.apache:dbutils,Version2
commons-digester,https://github.com/apache/commons-digester,https://issues.apache.org/jira/projects/DIGESTER,org.apache:digester,org.apache:digester,Version2
felix,https://github.com/apache/felix,https://issues.apache.org/jira/projects/FELIX,org.apache:felix,org.apache:felix,Version2
httpcomponents-client,https://github.com/apache/httpcomponents-client,https://issues.apache.org/jira/projects/HTTPCLIENT,org.apache:httpclient,org.apache:httpclient,Version2
httpcomponents-core,https://github.com/apache/httpcomponents-core,https://issues.apache.org/jira/projects/HTTPCORE,org.apache:httpcore,org.apache:httpcore,Version2
commons-jxpath,https://github.com/apache/commons-jxpath,https://issues.apache.org/jira/projects/JXPATH,org.apache:jxpath,org.apache:jxpath,Version2
commons-net,https://github.com/apache/commons-net,https://issues.apache.org/jira/projects/NET,org.apache:net,org.apache:net,Version2
commons-ognl,https://github.com/apache/commons-ognl,https://issues.apache.org/jira/projects/OGNL,org.apache:ognl,org.apache:ognl,Version2
santuario,https://github.com/apache/santuario-java,https://issues.apache.org/jira/projects/SANTUARIO,org.apache:santuario,org.apache:santuario,Version2
commons-validator,https://github.com/apache/commons-validator,https://issues.apache.org/jira/projects/VALIDATOR,org.apache:validator,org.apache:validator,Version2
commons-vfs,https://github.com/apache/commons-vfs,https://issues.apache.org/jira/projects/VFS,org.apache:vfs,org.apache:vfs,Version2
zookeeper,https://github.com/apache/zookeeper.git,https://issues.apache.org/jira/projects/ZOOKEEPER/,org.apache:zookeeper,org.apache:zookeeper,Version2
archiva,https://github.com/apache/archiva,https://issues.apache.org/jira/projects/MRM/,org.apache:archiva,org.apache:archiva,Version2
cayenne,https://github.com/apache/cayenne,https://issues.apache.org/jira/projects/CAY/,org.apache:cayenne,org.apache:cayenne,Version2
hive,https://github.com/apache/hive,https://issues.apache.org/jira/projects/HIVE/,org.apache:hive,org.apache:hive,Version2
thrift,https://github.com/apache/thrift,https://issues.apache.org/jira/projects/THRIFT/,org.apache:thrift,org.apache:thrift,Version2
accumulo,https://github.com/apache/accumulo,https://issues.apache.org/jira/projects/ACCUMULO,org:apache:accumulo,,Version1
ambari,https://github.com/apache/ambari,https://issues.apache.org/jira/projects/AMBARI,org.apache:ambari,,Version1
atlas,https://github.com/apache/atlas,https://issues.apache.org/jira/projects/ATLAS,org.apache:atlas,,Version1
aurora,https://github.com/apache/aurora,https://issues.apache.org/jira/projects/AURORA,org.apache:aurora,,Version1
beam,https://github.com/apache/beam,https://issues.apache.org/jira/projects/BEAM,org.apache:beam,,Version1
mina-sshd,https://github.com/apache/mina-sshd,https://issues.apache.org/jira/projects/SSHD,org.apache:sshd,,Version1
